age,job,marital,default,housing,loan,day,month,duration,pdays,deposit,was_previously_contacted,pdays_contacted,has_debt,net_balance_indicator,financial_stress,previous_log1p,balance_log1p,campaign_capped,poutcome_is_unknown,contact_is_unknown,poutcome_failure,poutcome_other,poutcome_success,contact_cellular,contact_telephone,education_primary,education_secondary,education_tertiary,education_unknown
31,technician,single,no,yes,no,9,may,483,-1,1,0,,1,1,0,0.0,8.835064935031076,3.0,1,1,False,False,False,False,False,False,False,True,False
43,blue-collar,single,no,yes,no,9,may,929,-1,1,0,,1,1,0,0.0,8.832295859444011,3.0,1,1,False,False,False,False,False,False,True,False,False
31,admin.,married,no,yes,no,9,may,538,-1,1,0,,1,1,0,0.0,8.87570644462861,1.0,1,1,False,False,False,False,False,False,True,False,False
28,blue-collar,single,no,yes,no,9,may,710,-1,1,0,,1,1,0,0.0,8.936955604225226,1.0,1,1,False,False,False,False,False,False,True,False,False
32,blue-collar,married,yes,yes,no,9,may,653,-1,1,0,,1,0,1,0.0,8.831711917821577,1.0,1,1,False,False,False,False,False,False,True,False,False
60,technician,married,no,yes,no,9,may,1028,-1,1,0,,1,1,0,0.0,8.84130362048157,2.0,1,1,False,False,False,False,False,True,False,False,False
26,blue-collar,single,no,yes,no,9,may,654,-1,1,0,,1,1,0,0.0,8.843759381917984,1.0,1,1,False,False,False,False,False,False,True,False,False
40,blue-collar,married,no,yes,no,9,may,1692,-1,1,0,,1,1,0,0.0,8.83331693749932,2.0,1,1,False,False,False,False,False,False,True,False,False
33,blue-collar,divorced,no,yes,no,9,may,665,-1,1,0,,1,1,0,0.0,8.88723835429314,2.0,1,1,False,False,False,False,False,True,False,False,False
32,management,single,no,no,no,12,may,757,-1,1,0,,0,1,0,0.0,8.87626525995469,2.0,1,1,False,False,False,False,False,False,False,True,False
35,blue-collar,married,no,no,no,13,may,504,-1,1,0,,0,1,0,0.0,8.890548245606167,4.0,1,1,False,False,False,False,False,True,False,False,False
33,management,divorced,no,yes,no,13,may,1346,-1,1,0,,1,1,0,0.0,8.832587702434553,1.0,1,1,False,False,False,False,False,False,True,False,False
38,management,married,no,yes,no,13,may,568,-1,1,0,,1,1,0,0.0,8.849083518532339,4.0,1,1,False,False,False,False,False,False,False,True,False
23,entrepreneur,single,no,yes,no,13,may,395,-1,1,0,,1,1,0,0.0,8.832441791585824,2.0,1,1,False,False,False,False,False,True,False,False,False
60,blue-collar,married,no,yes,yes,13,may,1015,-1,1,0,,1,1,1,0.0,9.000976444070345,1.0,1,1,False,False,False,False,False,True,False,False,False
48,management,married,no,yes,no,13,may,683,-1,1,0,,1,1,0,0.0,9.082279701908664,2.0,1,1,False,False,False,False,False,False,False,True,False
45,entrepreneur,divorced,no,yes,no,13,may,470,-1,1,0,,1,0,1,0.0,8.772455372611907,1.0,1,1,False,False,False,False,False,False,False,True,False
36,blue-collar,married,no,yes,no,13,may,1001,-1,1,0,,1,1,0,0.0,8.98894529119609,4.0,1,1,False,False,False,False,False,False,True,False,False
52,management,married,no,yes,no,13,may,845,-1,1,0,,1,1,0,0.0,9.11482017011877,1.0,1,1,False,False,False,False,False,False,False,False,True
35,blue-collar,divorced,no,yes,no,13,may,945,-1,1,0,,1,1,0,0.0,8.874727765766853,2.0,1,1,False,False,False,False,False,True,False,False,False
43,technician,married,no,yes,no,13,may,1721,-1,1,0,,1,1,0,0.0,9.223651386035854,2.0,1,1,False,False,False,False,False,False,True,False,False
52,housemaid,married,no,yes,no,14,may,942,-1,1,0,,1,1,0,0.0,9.28470545393149,3.0,1,1,False,False,False,False,False,False,True,False,False
53,technician,divorced,no,yes,no,14,may,476,-1,1,0,,1,1,0,0.0,9.02304647355567,1.0,1,1,False,False,False,False,False,True,False,False,False
48,blue-collar,divorced,no,yes,no,14,may,832,-1,1,0,,1,1,0,0.0,8.835355971121606,1.0,1,1,False,False,False,False,False,True,False,False,False
41,blue-collar,single,no,yes,no,14,may,1553,-1,1,0,,1,1,0,0.0,9.043931533642278,1.0,1,1,False,False,False,False,False,True,False,False,False
39,management,divorced,no,yes,yes,14,may,1328,-1,1,0,,1,1,1,0.0,8.904630097005011,1.0,1,1,False,False,False,False,False,False,False,True,False
59,retired,married,no,yes,yes,14,may,1125,-1,1,0,,1,1,1,0.0,9.032409163483521,2.0,1,1,False,False,False,False,False,False,True,False,False
41,blue-collar,married,no,yes,no,14,may,858,-1,1,0,,1,1,0,0.0,9.176990392294629,1.0,1,1,False,False,False,False,False,False,True,False,False
48,blue-collar,married,no,yes,no,14,may,629,-1,1,0,,1,1,0,0.0,9.018453210312527,2.0,1,1,False,False,False,False,False,False,True,False,False
40,admin.,married,no,yes,no,14,may,704,-1,1,0,,1,1,0,0.0,9.034080406560824,1.0,1,1,False,False,False,False,False,False,True,False,False
48,blue-collar,married,no,yes,no,14,may,760,-1,1,0,,1,1,0,0.0,9.041329829241901,1.0,1,1,False,False,False,False,False,False,True,False,False
60,retired,married,no,yes,no,14,may,930,-1,1,0,,1,1,0,0.0,9.03491498187007,1.0,1,1,False,False,False,False,False,True,False,False,False
40,technician,single,no,yes,no,14,may,1028,-1,1,0,,1,1,0,0.0,9.259225769705994,2.0,1,1,False,False,False,False,False,False,False,False,True
57,technician,married,no,no,no,14,may,850,-1,1,0,,0,0,1,0.0,8.831711917821577,2.0,1,1,False,False,False,False,False,False,False,True,False
51,blue-collar,married,no,yes,no,14,may,927,-1,1,0,,1,1,0,0.0,9.548881894718772,1.0,1,1,False,False,False,False,False,False,True,False,False
41,blue-collar,divorced,no,yes,no,14,may,1423,-1,1,0,,1,1,0,0.0,9.40426106461349,3.0,1,1,False,False,False,False,False,False,True,False,False
41,blue-collar,married,no,yes,no,15,may,1162,-1,1,0,,1,1,0,0.0,9.015905747298426,4.0,1,1,False,False,False,False,False,False,True,False,False
52,blue-collar,divorced,no,yes,no,15,may,755,-1,1,0,,1,0,1,0.0,8.80357441813497,1.0,1,1,False,False,False,False,False,True,False,False,False
59,blue-collar,married,no,yes,no,15,may,695,-1,1,0,,1,1,0,0.0,8.877521453852872,1.0,1,1,False,False,False,False,False,True,False,False,False
44,blue-collar,married,no,yes,no,15,may,483,-1,1,0,,1,1,0,0.0,8.852950887099581,1.0,1,1,False,False,False,False,False,False,False,False,True
49,unknown,married,no,yes,yes,15,may,520,-1,1,0,,1,1,1,0.0,8.880446450715093,2.0,1,1,False,False,False,False,False,True,False,False,False
40,services,married,no,yes,no,15,may,920,-1,1,0,,1,0,1,0.0,8.830543010616596,2.0,1,1,False,False,False,False,False,True,False,False,False
41,admin.,married,no,yes,no,15,may,500,-1,1,0,,1,0,1,0.0,8.78615105486974,1.0,1,1,False,False,False,False,False,True,False,False,False
44,technician,married,no,yes,no,15,may,911,-1,1,0,,1,1,0,0.0,9.343909263897597,2.0,1,1,False,False,False,False,False,False,False,True,False
60,services,single,no,yes,no,15,may,920,-1,1,0,,1,1,0,0.0,8.876544550558378,2.0,1,1,False,False,False,False,False,True,False,False,False
29,management,married,no,no,no,15,may,1224,-1,1,0,,0,1,0,0.0,9.765661235628725,2.0,1,1,False,False,False,False,False,False,False,True,False
41,retired,divorced,no,yes,no,15,may,1156,-1,1,0,,1,0,1,0.0,8.797246236703527,2.0,1,1,False,False,False,False,False,True,False,False,False
41,blue-collar,married,no,yes,no,15,may,1052,-1,1,0,,1,1,0,0.0,9.137984709784043,1.0,1,1,False,False,False,False,False,True,False,False,False
42,technician,single,no,yes,no,15,may,1867,-1,1,0,,1,1,0,0.0,9.013473543740192,6.0,1,1,False,False,False,False,False,False,True,False,False
36,services,single,no,yes,no,16,may,515,-1,1,0,,1,1,0,0.0,8.872066513408342,1.0,1,1,False,False,False,False,False,False,False,False,True
39,technician,married,no,yes,yes,16,may,813,-1,1,0,,1,1,1,0.0,8.845489236753274,1.0,1,1,False,False,False,False,False,False,False,True,False
31,self-employed,single,no,yes,no,16,may,676,-1,1,0,,1,1,0,0.0,8.852664927703866,1.0,1,1,False,False,False,False,False,False,False,True,False
26,blue-collar,married,no,yes,no,16,may,1143,-1,1,0,,1,1,0,0.0,8.867145589594143,3.0,1,1,False,False,False,False,False,False,True,False,False
31,blue-collar,married,no,yes,no,16,may,688,-1,1,0,,1,1,0,0.0,8.845201135339584,1.0,1,1,False,False,False,False,False,False,True,False,False
29,admin.,single,no,yes,yes,16,may,803,-1,1,0,,1,1,1,0.0,8.855378246041125,1.0,1,1,False,False,False,False,False,False,True,False,False
37,services,divorced,no,yes,no,16,may,619,-1,1,0,,1,1,0,0.0,8.838986793496787,2.0,1,1,False,False,False,False,False,False,True,False,False
33,blue-collar,single,no,yes,no,16,may,767,-1,1,0,,1,0,1,0.0,8.769196271411001,2.0,1,1,False,False,False,False,False,False,True,False,False
24,technician,single,no,yes,no,16,may,912,-1,1,0,,1,1,0,0.0,8.889859587773016,1.0,1,1,False,False,False,False,False,False,True,False,False
50,admin.,divorced,no,yes,no,16,may,1340,-1,1,0,,1,1,0,0.0,8.883501584323207,1.0,1,1,False,False,False,False,False,False,True,False,False
27,technician,single,no,yes,no,16,may,897,-1,1,0,,1,1,0,0.0,9.264354960282422,1.0,1,1,False,False,False,False,False,False,False,True,False
54,management,single,no,yes,no,16,may,1297,-1,1,0,,1,1,0,0.0,9.32741204356202,3.0,1,1,False,False,False,False,False,False,False,True,False
30,technician,single,no,yes,no,16,may,1193,-1,1,0,,1,1,0,0.0,8.950532836290382,5.0,1,1,False,False,False,False,False,False,True,False,False
34,blue-collar,married,no,yes,yes,16,may,1064,-1,1,0,,1,1,1,0.0,8.928507824313293,4.0,1,1,False,False,False,False,False,True,False,False,False
37,management,single,no,yes,no,16,may,1187,-1,1,0,,1,1,0,0.0,8.941283763647567,4.0,1,1,False,False,False,False,False,False,True,False,False
41,admin.,single,no,yes,no,19,may,882,-1,1,0,,1,1,0,0.0,8.970686268534983,1.0,1,1,False,False,False,False,False,False,True,False,False
47,blue-collar,married,no,yes,no,19,may,943,-1,1,0,,1,1,0,0.0,8.950532836290382,2.0,1,1,False,False,False,False,False,False,True,False,False
31,admin.,married,no,yes,no,19,may,607,-1,1,0,,1,1,0,0.0,8.845921233304018,1.0,1,1,False,False,False,False,False,False,True,False,False
31,blue-collar,married,no,yes,no,19,may,1022,-1,1,0,,1,1,0,0.0,8.936298185228436,4.0,1,1,False,False,False,False,False,False,True,False,False
43,services,divorced,no,yes,no,19,may,552,-1,1,0,,1,1,0,0.0,8.97322466309509,3.0,1,1,False,False,False,False,False,False,True,False,False
37,management,divorced,no,yes,no,19,may,1622,-1,1,0,,1,1,0,0.0,8.849513965486398,2.0,1,1,False,False,False,False,False,False,False,True,False
30,technician,single,no,yes,yes,19,may,967,-1,1,0,,1,1,1,0.0,8.952734767106872,6.0,1,1,False,False,False,False,False,False,False,True,False
41,technician,married,no,yes,no,19,may,579,-1,1,0,,1,1,0,0.0,8.902455592206882,5.0,1,1,False,False,False,False,False,False,True,False,False
36,blue-collar,married,no,yes,no,20,may,446,-1,1,0,,1,1,0,0.0,9.331406899955626,1.0,1,1,False,False,False,False,False,False,True,False,False
35,blue-collar,divorced,no,yes,no,20,may,1205,-1,1,0,,1,0,0,0.0,8.831857935197906,1.0,1,1,False,False,False,False,False,False,True,False,False
29,services,single,no,yes,no,20,may,1882,-1,1,0,,1,1,0,0.0,8.87066300440602,2.0,1,1,False,False,False,False,False,False,True,False,False
35,blue-collar,married,no,yes,no,20,may,1334,-1,1,0,,1,1,0,0.0,8.846640813100485,1.0,1,1,False,False,False,False,False,True,False,False,False
31,blue-collar,married,no,yes,no,20,may,182,-1,1,0,,1,1,0,0.0,8.832149906002899,2.0,1,1,False,False,False,False,False,False,True,False,False
35,services,married,no,yes,no,20,may,1777,-1,1,0,,1,1,0,0.0,9.307376334487778,1.0,1,1,False,False,False,False,False,False,True,False,False
34,technician,single,no,yes,no,20,may,1182,-1,1,0,,1,1,0,0.0,8.844192126244968,4.0,1,1,False,False,False,False,False,False,True,False,False
31,admin.,single,no,yes,yes,20,may,1045,-1,1,0,,1,1,1,0.0,8.892886141190731,1.0,1,1,False,False,False,False,False,False,True,False,False
44,technician,divorced,no,yes,no,20,may,650,-1,1,0,,1,1,0,0.0,8.965845494750937,3.0,1,1,False,False,False,False,False,False,True,False,False
36,blue-collar,married,no,yes,yes,20,may,1063,-1,1,0,,1,1,1,0.0,8.889721799278137,2.0,1,1,False,False,False,False,False,True,False,False,False
35,blue-collar,married,no,yes,no,20,may,843,-1,1,0,,1,1,0,0.0,9.364862411412354,2.0,1,1,False,False,False,False,False,False,False,False,True
41,blue-collar,married,no,yes,no,20,may,1392,-1,1,0,,1,1,0,0.0,8.99949587624899,2.0,1,1,False,False,False,False,False,True,False,False,False
31,blue-collar,single,no,yes,no,21,may,565,-1,1,0,,1,1,0,0.0,8.862908295118627,1.0,1,1,False,False,False,False,False,True,False,False,False
34,blue-collar,married,no,yes,no,21,may,905,-1,1,0,,1,1,0,0.0,8.994172434398399,1.0,1,1,False,False,False,False,False,False,True,False,False
32,technician,married,no,yes,no,21,may,783,-1,1,0,,1,1,0,0.0,8.941152882160566,2.0,1,1,False,False,False,False,False,False,True,False,False
36,management,married,no,yes,yes,21,may,958,-1,1,0,,1,1,1,0.0,8.948715833843691,2.0,1,1,False,False,False,False,False,False,False,True,False
30,blue-collar,single,yes,yes,no,21,may,412,-1,1,0,,1,1,1,0.0,8.866158492284917,1.0,1,1,False,False,False,False,False,False,True,False,False
37,technician,single,no,yes,no,21,may,795,-1,1,0,,1,1,0,0.0,8.994668835500674,1.0,1,1,False,False,False,False,False,False,True,False,False
36,blue-collar,married,no,yes,no,21,may,649,-1,1,0,,1,1,0,0.0,8.915700818956903,2.0,1,1,False,False,False,False,False,True,False,False,False
31,management,single,no,yes,no,21,may,506,-1,1,0,,1,1,0,0.0,8.945593270806897,2.0,1,1,False,False,False,False,False,False,False,True,False
27,technician,married,no,yes,yes,21,may,857,-1,1,0,,1,1,1,0.0,9.108529105829499,1.0,1,1,False,False,False,False,False,False,True,False,False
34,retired,married,no,no,no,21,may,1681,-1,1,0,,0,1,0,0.0,9.336796795928741,1.0,1,1,False,False,False,False,False,True,False,False,False
30,technician,single,no,yes,no,21,may,1697,-1,1,0,,1,1,0,0.0,9.004299728561636,2.0,1,1,False,False,False,False,False,False,False,True,False
32,technician,single,no,yes,no,21,may,860,-1,1,0,,1,1,0,0.0,9.351318965235755,2.0,1,1,False,False,False,False,False,False,False,True,False
37,technician,single,no,yes,no,21,may,799,-1,1,0,,1,1,0,0.0,9.227689010310796,1.0,1,1,False,False,False,False,False,False,True,False,False
32,blue-collar,married,no,yes,no,21,may,923,-1,1,0,,1,1,0,0.0,8.940105213128122,3.0,1,1,False,False,False,False,False,False,True,False,False
33,blue-collar,married,no,yes,no,21,may,521,-1,1,0,,1,0,0,0.0,8.831857935197906,3.0,1,1,False,False,False,False,False,False,True,False,False
35,blue-collar,married,no,yes,no,23,may,1349,-1,1,0,,1,1,0,0.0,8.967376693212666,8.0,1,1,False,False,False,False,False,True,False,False,False
35,self-employed,divorced,no,yes,no,23,may,736,-1,1,0,,1,1,0,0.0,9.01225522000275,2.0,1,1,False,False,False,False,False,False,False,True,False
30,blue-collar,single,no,yes,no,23,may,785,-1,1,0,,1,1,0,0.0,8.866158492284917,1.0,1,1,False,False,False,False,False,False,True,False,False
45,blue-collar,divorced,no,yes,no,23,may,1030,-1,1,0,,1,0,1,0.0,8.785386587284156,1.0,1,1,False,False,False,False,False,True,False,False,False
45,admin.,married,no,yes,no,23,may,893,-1,1,0,,1,1,0,0.0,8.853379672927634,3.0,1,1,False,False,False,False,False,False,True,False,False
33,blue-collar,married,no,yes,no,23,may,588,-1,1,0,,1,1,0,0.0,9.025575833531088,3.0,1,1,False,False,False,False,False,False,True,False,False
44,management,divorced,no,no,no,23,may,597,-1,1,0,,0,1,0,0.0,9.443196602144186,6.0,1,1,False,False,False,False,False,False,False,True,False
40,blue-collar,married,no,yes,no,23,may,1015,-1,1,0,,1,1,0,0.0,8.871645667501872,3.0,1,1,False,False,False,False,False,True,False,False,False
31,blue-collar,married,no,yes,no,23,may,1392,-1,1,0,,1,1,0,0.0,9.18594521514146,2.0,1,1,False,False,False,False,False,False,True,False,False
30,technician,married,no,yes,no,26,may,414,-1,1,0,,1,1,0,0.0,8.907883013942248,2.0,1,1,False,False,False,False,False,False,False,True,False
44,technician,divorced,no,yes,no,26,may,788,-1,1,0,,1,1,0,0.0,9.000976444070345,11.0,1,1,False,False,False,False,False,False,True,False,False
34,services,married,no,yes,no,26,may,682,-1,1,0,,1,0,1,0.0,8.75004942158424,1.0,1,1,False,False,False,False,False,False,True,False,False
37,blue-collar,married,no,no,no,26,may,679,-1,1,0,,0,1,0,0.0,8.849944227235596,2.0,1,1,False,False,False,False,False,False,True,False,False
28,self-employed,single,no,yes,no,26,may,1560,-1,1,0,,1,0,0,0.0,8.831857935197906,2.0,1,1,False,False,False,False,False,False,False,True,False
32,admin.,single,no,yes,no,26,may,1234,-1,1,0,,1,1,0,0.0,8.918516400357067,3.0,1,1,False,False,False,False,False,False,True,False,False
37,blue-collar,divorced,no,yes,no,26,may,642,-1,1,0,,1,1,0,0.0,8.876963340262272,2.0,1,1,False,False,False,False,False,False,True,False,False
34,management,married,no,yes,no,26,may,895,-1,1,0,,1,1,0,0.0,9.119977931895791,4.0,1,1,False,False,False,False,False,False,False,True,False
38,admin.,divorced,no,yes,no,26,may,431,-1,1,0,,1,1,0,0.0,8.860357273327022,2.0,1,1,False,False,False,False,False,False,True,False,False
28,admin.,single,no,yes,no,26,may,741,-1,1,0,,1,1,0,0.0,8.896861744480391,6.0,1,1,False,False,False,False,False,False,True,False,False
31,management,divorced,no,yes,no,26,may,1272,-1,1,0,,1,1,0,0.0,8.986446539271268,4.0,1,1,False,False,False,False,False,False,False,True,False
59,services,married,no,yes,no,26,may,748,-1,1,0,,1,0,1,0.0,8.82864061741828,3.0,1,1,False,False,False,False,False,False,True,False,False
24,blue-collar,married,no,yes,no,26,may,896,-1,1,0,,1,1,0,0.0,8.927181388251986,3.0,1,1,False,False,False,False,False,False,True,False,False
26,services,single,no,yes,no,26,may,764,-1,1,0,,1,1,0,0.0,8.955448122347393,2.0,1,1,False,False,False,False,False,False,True,False,False
59,retired,single,no,yes,no,27,may,1063,-1,1,0,,1,1,0,0.0,8.881836305004146,5.0,1,1,False,False,False,False,False,False,True,False,False
30,entrepreneur,single,no,yes,yes,27,may,1051,-1,1,0,,1,0,1,0.0,8.831857935197906,1.0,1,1,False,False,False,False,False,True,False,False,False
37,admin.,married,no,yes,no,27,may,731,-1,1,0,,1,1,0,0.0,8.871084263978354,3.0,1,1,False,False,False,False,False,False,True,False,False
30,admin.,single,no,yes,yes,27,may,751,-1,1,0,,1,0,1,0.0,8.800264651310336,1.0,1,1,False,False,False,False,False,False,True,False,False
25,blue-collar,married,no,yes,no,27,may,709,-1,1,0,,1,1,0,0.0,8.845921233304018,1.0,1,1,False,False,False,False,False,False,True,False,False
44,services,divorced,no,yes,yes,27,may,3094,-1,1,0,,1,1,1,0.0,8.83927669058535,2.0,1,1,False,False,False,False,False,False,True,False,False
29,management,married,no,no,no,28,may,938,-1,1,0,,0,1,0,0.0,8.876684166614451,2.0,1,1,False,False,False,False,False,False,False,True,False
26,management,single,no,yes,no,28,may,1560,-1,1,0,,1,1,0,0.0,9.524347869595513,2.0,1,1,False,False,False,False,False,False,False,True,False
26,technician,single,no,yes,no,28,may,576,-1,1,0,,1,1,0,0.0,8.924922401177469,3.0,1,1,False,False,False,False,False,False,True,False,False
27,services,single,no,yes,no,28,may,543,-1,1,0,,1,1,0,0.0,8.839711378703475,2.0,1,1,False,False,False,False,False,False,True,False,False
25,self-employed,single,no,yes,no,28,may,615,-1,1,0,,1,1,0,0.0,8.99850761180784,2.0,1,1,False,False,False,False,False,False,True,False,False
28,management,married,no,yes,no,28,may,507,-1,1,0,,1,1,0,0.0,8.87360810154911,1.0,1,1,False,False,False,False,False,False,True,False,False
23,services,single,no,yes,no,28,may,1183,-1,1,0,,1,1,0,0.0,8.924523226133914,1.0,1,1,False,False,False,False,False,False,True,False,False
34,management,single,no,yes,no,28,may,864,-1,1,0,,1,1,0,0.0,8.975503722070927,2.0,1,1,False,False,False,False,False,False,False,True,False
28,student,single,no,yes,no,28,may,1730,-1,1,0,,1,1,0,0.0,8.961622569542543,1.0,1,1,False,False,False,False,False,False,True,False,False
51,entrepreneur,married,no,yes,no,28,may,560,-1,1,0,,1,1,0,0.0,8.916640227198839,9.0,1,1,False,False,False,False,False,False,False,False,True
35,blue-collar,married,no,yes,yes,29,may,543,-1,1,0,,1,0,1,0.0,8.831857935197906,1.0,1,1,False,False,False,False,False,False,True,False,False
35,admin.,married,no,yes,no,29,may,539,-1,1,0,,1,1,0,0.0,8.889170455363413,1.0,1,1,False,False,False,False,False,False,True,False,False
56,blue-collar,married,no,yes,no,29,may,791,-1,1,0,,1,1,0,0.0,8.867568333206442,2.0,1,1,False,False,False,False,False,False,True,False,False
45,unemployed,divorced,no,yes,no,29,may,746,-1,1,0,,1,1,0,0.0,9.230437073675304,1.0,1,1,False,False,False,False,False,False,True,False,False
60,blue-collar,divorced,no,yes,no,29,may,1207,-1,1,0,,1,0,0,0.0,8.831857935197906,1.0,1,1,False,False,False,False,False,False,True,False,False
56,technician,married,no,yes,no,29,may,535,-1,1,0,,1,1,0,0.0,8.914357274485015,2.0,1,1,False,False,False,False,False,False,True,False,False
27,management,single,no,yes,no,29,may,789,-1,1,0,,1,1,0,0.0,9.893689710056018,3.0,1,1,False,False,False,False,False,False,False,True,False
30,admin.,married,no,yes,no,29,may,792,-1,1,0,,1,1,0,0.0,8.951828676824181,3.0,1,1,False,False,False,False,False,False,True,False,False
45,blue-collar,divorced,no,yes,no,29,may,833,-1,1,0,,1,1,0,0.0,8.915029272359911,2.0,1,1,False,False,False,False,False,True,False,False,False
29,blue-collar,single,no,yes,no,29,may,814,-1,1,0,,1,0,1,0.0,8.82893352896109,2.0,1,1,False,False,False,False,False,False,True,False,False
38,management,divorced,no,yes,no,29,may,1363,-1,1,0,,1,1,0,0.0,9.353661191420406,2.0,1,1,False,False,False,False,False,False,False,True,False
30,blue-collar,married,no,yes,no,29,may,1109,-1,1,0,,1,1,0,0.0,8.900412690577083,3.0,1,1,False,False,False,False,False,False,True,False,False
44,blue-collar,single,no,yes,no,29,may,828,-1,1,0,,1,1,0,0.0,9.040974526342444,3.0,1,1,False,False,False,False,False,True,False,False,False
36,management,single,no,yes,no,30,may,917,-1,1,0,,1,1,0,0.0,9.578795654450447,1.0,1,1,False,False,False,False,False,False,False,True,False
38,technician,married,no,yes,no,30,may,762,-1,1,0,,1,1,0,0.0,8.864322722511439,3.0,1,1,False,False,False,False,False,False,True,False,False
36,blue-collar,single,no,yes,yes,30,may,1133,-1,1,0,,1,1,1,0.0,8.88391747120797,2.0,1,1,False,False,False,False,False,False,True,False,False
37,management,divorced,no,yes,no,30,may,638,-1,1,0,,1,1,0,0.0,8.834191318202071,1.0,1,1,False,False,False,False,False,False,True,False,False
35,management,single,no,yes,no,30,may,763,-1,1,0,,1,1,0,0.0,8.911125383710678,1.0,1,1,False,False,False,False,False,False,False,True,False
38,admin.,divorced,no,yes,no,30,may,604,-1,1,0,,1,1,0,0.0,8.834628222017367,2.0,1,1,False,False,False,False,False,False,True,False,False
40,services,married,no,yes,no,30,may,854,-1,1,0,,1,1,0,0.0,8.97853441008332,2.0,1,1,False,False,False,False,False,True,False,False,False
